challenge_id,percentile,level,value,achieved_time,level_index,description,name,puuid
0,0.175,GOLD,4600.0,2026-03-11 22:53:59,4,,CRISTAL,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
1,0.09,PLATINUM,1675.0,2026-01-25 15:57:44,5,,IMAGINATION,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
2,0.286,SILVER,560.0,2026-03-11 22:53:59,3,,EXPERTISE,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
3,0.278,SILVER,530.0,2026-03-10 20:32:53,3,,VÉTÉRANCE,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
4,0.328,SILVER,1265.0,2026-01-19 23:00:30,3,,TRAVAIL D'ÉQUIPE,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
5,0.284,SILVER,570.0,2026-01-13 22:28:23,3,,COLLECTION,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302100,0.363,SILVER,60.0,2026-01-24 17:38:04,3,Progressez dans les défis du groupe Stratégie.,Stratégie,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302101,0.219,SILVER,7.0,2026-03-13 19:55:08,3,Participez à des éliminations de champions ennemis avant l'apparition des camps de la jungle (à 1:30).,Easy win,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302102,0.35,IRON,2.0,2026-02-22 16:01:07,1,"En tant que jungler, éliminez des champions de n'importe quelle voie (voie du haut, milieu, bas ou support) avant la 10e minute.","Farmez les champions, pas les camps",uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302103,0.334,GOLD,1.0,2025-12-14 15:09:40,4,"En tant que champion sur une voie, réussissez en une seule partie des éliminations hors de votre voie dans les 10premières minutes de jeu (tuez n'importe qui sauf votre adversaire de voie).",Décalage,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
302106,0.281,SILVER,24.0,2026-02-13 23:52:13,3,Générez un avantage de 2500PO pendant la durée de votre enchantement du baron.,Baron rentable,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203303,0.349,BRONZE,33.0,2026-03-14 21:30:59,2,Tuez des champions ennemis alors qu'ils sont à proximité de leurs tourelles.,Pas de quartier,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203302,0.414,IRON,17.0,2026-02-22 16:01:07,1,Réussissez des éliminations en étant entouré par plus de champions ennemis qu'alliés.,Se rire du danger,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203301,0.415,IRON,23.0,2026-02-02 21:08:52,1,Réussissez des éliminations en solo (sans l'assistance de champions alliés).,Solo bolo,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203300,0.36,BRONZE,30.0,2026-03-14 22:06:35,2,Progressez dans les défis du groupe Assassinat.,Assassinat,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301100,0.202,PLATINUM,275.0,2026-01-23 16:52:42,5,Progressez dans les défis du groupe Chasse aux monstres.,Chasse aux monstres,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301101,1.0,NONE,1.0,,0,"Tuez des monstres épiques dans les 30secondes suivant leur apparition. Les monstres épiques incluent les dragons, le héraut de la Faille et le baron Nashor.",Timing épique,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203305,0.32,IRON,1.0,2026-03-15 20:08:28,1,"Tuez en moins de 1.5seconde un champion qui avait tous ses PV, en étant la source d'au moins 90% des dégâts qu'il a subis.",Bye bye,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301102,0.118,MASTER,28.0,2026-02-13 23:52:13,7,Votre équipe tue le baron Nashor avant la 27e minute de jeu.,Sus au Nashor!,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
203304,0.352,IRON,8.0,2026-01-17 17:35:27,1,Détruisez des tourelles des voies latérales en solo (vous devez infliger la majorité des dégâts) après 14minutes de jeu sans mourir.,Stratégie latérale,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301103,0.025,MASTER,9.0,2026-01-23 16:26:43,7,Votre équipe tue des dragons ancestraux avant la 28e minute de jeu.,Chasse aux dragons,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
